sentiment,text
@ @ # and were the in the first debate . debate was an ambush .,1
's going to hell and on # is attacking for a `` war on women ? '' #,0
"@ : # -- to see several candidates express their faith in and , . http :",1
"@ : # said he ’ s not “ politically ” , of course , is for “ ’ s face it , ’ m huge ” # …",0
@ : message to the # candidates : http :,0
@ : is the worst episode of that 've ever seen . #,0
@ : `` purpose of the military is to kill people and break things . '' - something an actual man running for president just said …,0
if could get the to pay for my liver transplant after playing @ # drinking game last night .,0
@ : way to start . # @ # http :,1
"@ : elected , on my first day as , 'll rescind every illegal and unconstitutional executive order enacted by .",1
’ re all now : the sting backfired on # # http :,0
@ : @ let # digest # before allowing crazy @ to # ! @ http :,0
@ : for # http : http :,0
"though she 's a super conservative reporter , actually like 's interview style & amp ; she did great at the #",1
@ : # is not a debate at all . 's a series of minute opportunities to avoid answering a question one,0
@ : for this joke goes to someone else but it is funny ! # http :,1
@ : incredible . http : night 's # doubled the previous record for most-watched primary debate,1
@ : literally could n't be more true for me . `` the # & amp ; a '' http :,0
@ : a little saas from @ this morning towards @ . # # http :,0
@ : people saw in person vs what we saw on tv . # http :,0
@ : 's ' http : #,0
"@ : of them have made look out of place or foolish yet . about that . you 're done crying , think about it",0
a great time watching the # last night http :,1
@ : # says that he does n't have time for political correctness . does calling women `` fat pigs '' save him …,0
@ : is the @ we have now . of the people on now might be the next one . everything . # http :,0
@ : `` @ web stream and mobile app fail during # ” … am not surprised ? http :,0
@ : helped create new jobs . can do it for . # http :,1
help the replace windows in their convent https : # # gofundme # #,1
just said @ is a true gentleman & amp ; then they started violently . #,0
@ : will these guys ever shut up about how much they respect women ? #,0
"@ : did the # teach us about a future ? probably won ’ t be safe , except if we ’ re attacked …",0
"@ : is going to be a long , tiring election season . `` shockingly ill-informed '' candidates at # http :",0
@ : ca n't even carry his own state . #,0
"@ : people , if you need anymore indication why hate us . this . # http :",0
"@ : , told me should run , and the agreed and all the voted yes , so here am . #",0
@ : should have told to go to ! # #,0
@ : on the show : '' have lost all respect for . '' # #,0
@ : `` @ : @ @ 's behaviour at the # was astonishingly biased . '',0
": , , http : # # @",1
@ : . of 's charity went to the ! http : # copolitics # # #,0
"@ : # order was to `` take out '' , but wonder if was the one who took the `` order '' seriously . @",0
"@ : all owe @ a huge thank you exposing to the @ , , & amp ; @ are true ! …",0
@ : : $ ( $ ) http : #,0
're right heard @ was that only women could give birth to s child . that changed ? # https :,1
@ : # interviewer to candidates : `` 's your take on these talking points 'm feeding you ? '',0
@ : the murder of black ppl is just just not unborn black babies ? # #,0
@ : is really standing out at the #,1
@ : . @ know who did n't whine about `` unfair '' questions ? @ a set why do n't ya ' . #,1
ca n't be pro-life have watched that hour abortion last night . # # #,0
"@ : . @ , failed the people tonight . tried to make history , by destroying @ . #",0
"@ : when you mix politics and religion , you get politics . #",0
@ : nailed it on abortion . must protect life . # http :,1
@ @ @ foxnews was up with attacking # on bankruptcy then giving a softball ? #,0
obviously did n't get the memo about # . # http :,0
"@ : , you were types of petty at last night 's # -- & gt ; http : http :",0
@ : who say they 'll take back to on ' will never see one day in ! #,0
gloating abt buying pols & amp ; them doing his bidding my caricature # https :,0
@ : @ # # @ @ @ @ http :,1
@ : to the # like http :,0
@ : moment of the # last night : telling to go get another hug from .,1
@ : you missed either # all you need to know is there 's no $ for struggling and unlimited $ for war .,0
@ : . @ are on the verge of the greatest time to be alive in this world but is holding us back ' # mysa # txlege …,0
@ : # # # # # http : http :,0
"@ : @ fights back against `` what will you do abt immigration '' . border is porous , and that must be fixed first . …",1
is the # : quo shit show,0
@ : http : # @ http :,0
"@ : look , it ’ s men standing on a stage arguing why they should get to control women ’ s bodies and choices . #",0
@ : night at the # all saw was a bunch of and despots with solutions to our nations problems #,0
@ : you think of these people are qualified unfollow me . #,0
's the real illegal # on the https : via @,0
# talking heads put on the debate now the talking heads are telling us how the debates went . we wasted our time watching,0
"# is right about @ but really needs to study , verses . # https :",1
"@ : `` do you think women should sleep when they have ? shed ? in an open field , not on your property ? ' …",0
"`` think 's a pretty fair guy '' , neurosurgeon , on his belief modern day taxation should be based on an ancient book #",0
@ : cheers from # audience defiantly named @ as the woman he called `` '' were the voices …,0
"# do n't matter , apparently , to candidates for president http : / or to @ # uniteblue #",0
"the main thing we learned from the # is that only straight , white , men matter .",0
"@ thought @ had the best post # interviews of the night , gave them all a chance their position .",1
"@ : @ , if you 're still looking to chip in , check out http : #",0
"@ @ # , # is criticizing during # did a bad job as `` moderators . ''",0
"“ @ : : `` the lines go up , they almost reach . almost never happens in the dial research we do . '' # rigged",0
@ : wish we could teach teenage girls to love themselves as much as loves himself . #,0
@ : are a people without a ! # @,0
@ : come there 's no talk about climate change ? anyone here even seen right now ? # #,0
"@ : night they could have have raised their hands . 'm a spoiled billionaire , 'm an oligarch , 'm a racist , 'm a",0
"# # @ ! , , & amp ; # empowering",1
"@ : no circumstances should men dictate abortion rights to women . 's the , we are better than",0
@ : # ! % ( ) @ % ( ) @ % @ http :,1
@ : . @ you @ for `` going from objective moderator to active participant '' # http :,0
# @ @ you called @ billclinton a two timing slut . you stand by that statement ! ?,0
@ : ☑ never watch # again . # questions . to @ . it about ratings http :,0
# winners # # # # # # others were completely forgettable,1
@ : : government payroll is smaller than it 's been in decades . http : # http :,1
@ : `` the teacher 's unions and beating them is the way to go . '' – http : #,0
@ theblaze war on women ! @ @ @ rushlimbaugh # @,0
@ : vs. conflict is quite the conundrum . ’ s like the personification of vs . . do,0
@ : know how extraordinary this nation is . #,1
"@ : , in the # http :",0
"# rubio still my preference but i can see point of his critics over opportunism , inconsistency #",1
@ ever tell @ to go wait in the car ? bad attitude suggests it . # #,1
@ : was on fire ! . @ 's `` '' : https : # #,1
@ : `` @ : 'm getting a lot of @ tonight . # '' is totally overrated and angry .,0
literally could n't be more true for me . `` the # & amp ; a '' http : @,0
# was half as long as the # but twice as intelligible .,0
@ : a single question in last night 's # about the most urgent issue of our time : climate change .,0
# was up with # & amp ; their `` gotcha '' questions ? seemed designed to elicit typical political `` spin '' responses . # tlot,0
the # all of the promises being made by startups at this tech conference seem quite reasonable .,1
@ : @ @ @ @ ! # # # # tcot # stoprush http :,0
@ : watching the bandwagon pass . # tlot # tcot # http :,0
"@ deray : the # began , did n't the moderators say that million ppl were discussing `` racial issues '' ? happened to",0
"@ : 's nothing like listening to ten dudes who will never need an abortion , talk about whether should have a right …",0
@ : silenced by billions too ? a single question at last night 's # to # climatechange deniers about,0
"@ : republicans are rich , they do n't care about the poverty of & amp ; they definitely do n't care bout the poverty of",0
up on my # @ what a childish & amp ; cheap move to call out @ billclinton & amp ; @ on a year old story,0
@ : does is attack other . #,0
"@ : : just no , but `` hell no '' to the # ! # # # tcot https :",0
"@ : wins the election , then we 'll know we 're on the timeline . #",0
@ : just said you have to work two more years before that you 'll get tens of thousands less you,0
"@ : is ready to lead . the team , ! : http : # https :",1
@ : biggest losers in the debate were the moderators who attacked instead of moderating #,0
"@ : has yet to give a single , evidence-based answer to a direct question about policy . should frighten you . #",0
@ : honestly think sometimes these guys forgot they came from wombs too . # # https :,0
@ : who shame other women for having abortions deserve to be shamed for having no soul or self respect . #,0
"@ : ’ s closing statement is every dinner conversation had at , ever . #",0
@ : `` the rich wage war it 's the poor who die . '' is now foreign policy . #,0
"the # , we saw the candidates completely miss the mark on race & amp ; # http : http :",0
@ : to the for being proud of defeating teachers union even though they just wanted higher wages #,0
@ @ got that right ! #,0
"@ : just said the is stupid , so let 's vote him . people . #",0
excited for @ # # # # been waiting for years ! !,1
look it 's my feelings about summed up in one gif # http :,0
@ : http : # http :,0
@ : “ ! ” - candidate #,0
# # @ just be honest . u were defs talking about @ coz he 's stealing ur schtick,0
"cnn , msnbc , and the new times praise fox moderators then you know the moderators fucked up . #",0
@ : is a lunatic . #,0
"has class & amp ; truth , that gets my vote ! #",1
"@ : : 'm the only reason anyone is even talking about illegal immigration . digging , ! #",0
@ : . . who makes some sense . # #,1
@ : would not vote for any of these guys #,0
# candidates want to reduce taxes while # wants to legalize prostitution and drugs so we can tax it . #,0
"@ : panel , can you just ask every single question ? him a shovel while you 're at it so he can keep digging . # …",0
# # is ! what he 's not a polished . me love him even more . https :,1
@ : . was just a movie trailer . # #,0
@ : & amp ; both praising tonight . should tell you everything you need …,0
are all the accessory women wearing the same shoes ? ! # http :,0
is an absolute nut ! entertaining #,0
`` @ thehill : pundits pick their # winners : http : http : '',0
@ : went after @ times in the # remained silent about the issues that affect us .,0
@ : . @ trying up @ w @ . him down . him . happening . #,0
@ gov : # moment for @ : saying he would n't publicize to the world his answer on waterboarding .,0
give him a e for his big ego . # 's are earned for excellence . with rump .,0
of the # #,1
"@ : `` @ got the best reviews , and deserved them . '' more of our # recap of the # -- - & gt ; http :",1
@ : question to the from . lesson here : be careful what you tweet on ! #,1
changed his mind on supporting because a friend changed their mind on aborting & amp ; had a great kid . #,0
closing statement : @ #,1
@ : have to stop worrying about being loved & amp ; start worrying about being respected . # # https :,1
@ : sycophants want to know what @ 's `` hidden agenda '' was last night . is simple : it 's called a,0
is a really nasty piece of work . he disappears quickly . #,0
@ : #,0
@ : were far and away the best tweets of last night # # http :,1
"@ : what says , always make sure my prostitute her pimp pay and pension . #",0
@ did great by challenging the candidates in # . these candidates ca n't handle a tough question they could never b #,1
@ : ’ d say it was the opposite . acted like some on whining about feminism . sad . # https :,0
@ : so . so . # https :,1
the number of times that ronald reagan is mentioned in the # is,0
"@ : is against `` p.c . culture , '' 'm suddenly % for it . even kidding . a howling of a human . #",0
@ : # great close ! operates on brains so he does n't worry about skin color . #,1
@ : that would be offended by `` '' most certainly do n't vote . a new fake issue . # …,0
@ : religion out of politics ! #,0
"@ : , bet the mood in the clown car is going to be when these jerks leave the # .",0
@ : did a great job tonight ! your closing statement ! @ #,1
“ @ : the debate : the anchors hashed out the questions #,0
anyone get trashed playing @ 's # drinking game ? #,0
# donates to can call in a favor years later ? ? like # # legal ? # #,0
@ : to think there were actually people sitting on their couch last night saying . #,0
"@ : politics can be even partially rational , 's campaign for the nomination just ended . #",0
@ : chooses killing mother rather than aborting unborn embryo . is reason other countries give us that funny …,0
n't # : is a talking point in the # since #,0
@ : statements reminisce about an that no longer exists after ’ s and . #,0
@ : is going to personally take away your telescope and try you as a witch . #,0
@ killed it last night at the # glad to have some that cares for #,1
@ : the # is more exciting than anything else on tv in the past years .,1
"@ : , it 's tough to say who is making me more horny . #",1
"@ @ @ # was better than thought it 'd be , though candidates finessed issues with sound bytes .",1
@ : ' http : # http :,0
@ : http : #,0
# was so thoughtful in # - # http :,1
"@ : will be a lot of jobs available if serves terms , because most will have committed suicide . #",0
". @ debate # and so far , the moderators and the participants are better ! #",1
@ : insulted @ and women and not one man on stage confronted him . of them are worthy to be …,0
"@ : @ , was waiting for @ to ask @ , `` did you stop beating your wife ? '' # http :",0
@ : last night . you watching @ ? got @ and all the good stuff from the # on …,0
@ : @ ! # # # # http :,0
"# : from this week include # , the # , and # . . . . . . #",0
"@ : course , the wo n't pledge not to run as a third party candidate . #",0
sums up what happended last night : `` of our two major parties has gone off the deep end '' http : #,0
@ : remember no matter wins the # everyone who watched it loses #,0
@ : # # cost times more than the $ it would 've if it were being managed by @ #,0
@ you disgraced yourself last night #,0
@ : : in the final # will tear off his # mask to reveal a smirking .,0
"# to # : `` , ’ t '' https : # #",1
@ : is angling himself to be a slightly less loony version of . #,0
the new darling of the left . # @ # #,0
@ : abortion question — disgusting . #,0
@ nytimes and @ praised @ and they thought they did a good job # a good thing,0
# : a lesson for coming months : quality and not quantity in words & amp ; time for tangible and believable http :,0
"and the are praising the @ moderators , you know they did it completely wrong . #",0
". @ displayed `` utmost authority '' at @ foxnews # , critic says . http : http :",1
"@ : one candidate spoke up against 's plan , & amp ; not one condemned his racist comments . wo n't",0
is my hero . # http :,1
@ : science council was more worried about climate change than these scary people . #,0
my very valuable presidential endorsement until hear about everyone 's point of view on the amendment #,0
@ : `` never had an abortion with and ! '' - everyone tonight #,0
@ won the # last night . candidate who answered questions directly and not afraid to take on tough issues .,1
"@ : . @ , @ : `` was the star of the focus group show . he spoke , the feedback …",1
"the primetime # this afternoon , think @ was the real winner , quiet but effective",1
@ : # is giving me some serious tonight . # http :,0
# # know how to use # for # http : # # http :,0
@ : : deal with a playground bully by punching them in the face & amp ; putting them on the ground they only,0
@ ali : of in my and timelines are ticked at for running that hatchet job of a debate . #,0
"wo n't defend @ , they were from fair balanced last night , but name calling is juvenile . #",0
@ : off to for using the term `` useful idiots '' re : and the secular progressive movement . #,1
@ team talked for minutes of # while talked for . obvious goal was to ambush everyone . .,0
@ : actually agree with @ on something . said @ did n't hurt himself in # and concur .,1
@ : brain . heart . soul . fight . hope .,1
"@ : # was like a super crappy cage fight of , bumbling , old without the",0
@ : military is not a social experiment . purpose of the military is to kill people and break things . # # …,0
@ # is no role model does n't speak for me or my prof friends ? a real woman @ is a poser,0
donald trump # whatajoke #,0
@ funnyordie : feels like tried to be the cool parents that let their kids have a party & amp ; now the house is on fire . #,0
@ : 's unconscionable that @ moderators asked the candidates except foreign policy & amp ; nat sec questions,0
@ : . . . . . #,0
"@ : debate tips - take a gander , @ : http : # # teaparty # tcot # tlot # icon http :",0
@ : jobs is our greatest moral purpose because they strengthen our families & amp ; communities . # http :,1
"@ : @ at the first # . support as , but would support you as running mate or",1
you 're a woman who supports party please wake up and get informed . #,0
the clear standout among # cannon fodder . his record contradicts statements on acceptance : http :,1
"anti- @ unit of the # is now working , 'm sure . # https :",0
@ : `` mother worked '' - #,0
@ : we have getting beheaded overseas and @ is worried whether @ calls,0
# “ ” : : & amp ; http :,0
", , and political debates as entertainment . a particularly sterling quality of our federal republic . #",0
@ @ fear . who live in fear are not free and have no liberty . is #,0
"@ : # : , - http :",1
@ : wonder if the # will address actual solutions for climate change and clean energy . #,0
"@ : @ : misogynist , ignorant , xenophobic and greedy : another proof that money does not buy class . # #",0
"@ : @ # # , seriously , would you vote for any of these ? # # # http :",0
@ : all you want # was hit job on @ and calculated mute job on @ @,1
actually agree with @ on something . said @ did n't hurt himself in # and concur .,1
@ : 's take from to . you help ? -- & gt ; http : # # http :,1
@ : got caught up on the # and felt like should write a joke about it but the biggest joke of all was the,0
@ : makes me want to blow rails with before we wreck his dad ’ s car . #,0
religion out of politics ! #,0
what is on about : abortions ? is absurd . #,0
'm eating lunch out and these two old ladies discussing the # is giving me life . shading shit outta and .,0
@ : 's # was an important reminder that these guys think of women as carrying cases for fetuses .,0
"@ : the guide my words tonight , let wisdom be my thoughts . #",1
@ : # pretty much http :,0
@ deray : literally said that he donates to politicians and then calls them later to get what he wants . literally just said,0
"# none of the presidential candidates brought a fucking gom jabbar , i mean at least liven up your crazy",0
@ : `` was just so eloquent knew what he was saying . believed what he was saying . '' # # https :,1
@ : http : #,0
@ : want @ to quietly walk out onto this stage and all these hollow beasts . #,0
# was good once they quit throwing crap at @ and got substantive . handled the `` gotcha '' questions .,1
@ : clowns did n't even tackle change . did n't mention at all . you surprised ? # http :,0
@ : they going to ask 's penis question ? is very disrespectful . #,0
who watched the last night and saw # # @ #,1
# the # http : levels of lies and and general .,0
how much of tonight 's # @ show will be about her # #,0
@ : # lose focus on the truly important issues # & amp ; # http :,1
@ : calling @ a bimbo is reprehensible . is about choosing a candidate for president the,0
@ : mentioned in the # : rights change violence shootings debt,0
@ : ’ s almost time ! into @ at p.m. # # http :,0
is an amazing degree of commitment to a running joke http : # # photobomb,1
"@ : . @ focus group : `` was very articulate , very relatable , & amp ; made a lot of good points . '' # #",1
@ : # was still ! 'm glad helping destroy . http :,0
# wants to # and # wants to legalize prostitution and drugs . #,0
"line `` taking on the teacher 's unions , and beating them '' sure that empowers kids disenfranchise the ones who teach em #",0
@ : mood re : # http :,0
"the newest was built in the like complained , does n't that mean should have built more ? #",0
@ : says he would rather send @ to negotiate with than . #,0
# @ but she deserves better than to be called by # for doing her job # #,1
debate analysis from my friend @ of @ http : #,1
@ : ca n't tell if these are just bad cramps or my uterus trying to flee the country as watch the #,0
@ : now the realization dawns on us . `` shit . 've been watching . '' #,0
. @ know who did n't whine about `` unfair '' questions ? @ a set why do n't ya ' . #,0
@ : spent the # with and is what love to see http : http :,1
seems like a decent guy shame he 'll drowned out by the loonies in the # #,0
@ : feelings about after # : http :,0
"@ deray : the end , ! # http :",0
"said he was appointed , . was actually appointed , . # http :",0
fundamentally misunderstands the amendment & amp ; got owned by @ over : http : #,0
"@ : : in this party of super patriots , not a single candidate on stage has served a day in the military . #",0
@ : you @ for speaking out on # # # # http :,1
's the real illegal alien # - on & amp ; the https : via @,0
candidate really likes hugs ? one word that defined each one 's # http : http :,1
@ : assume you guys did n't boo a gay soldier this time only because the opportunity did n't arise . # # http :,0
"@ : . @ said he ’ d love his daughters if they were gay , but his voting record says otherwise # http :",0
@ : mother worked . mothers worked . mothers worked . mentioned their mothers . . #,0
@ : # . and on point !,1
@ : a reminder . than percent of what # does deals with abortions . this debate wo n't tell you …,0
"@ : base voters have been targeted by leftist terror campaigns for years , & amp ; the establishment relentlessly manipulates",0
@ : `` you not entertained ? ! ? ! ? ! '' # throws a severed head into the crowd . #,0
"@ : 'm not really sure about , but would make an excellent villain . # # #",0
"@ : debates on terrorism , do n't expect anyone to bring up white supremacist organizations engaging in terrorism . #",0
@ can feel comfortable as # solved all problems ( personal & amp ; scientific ) https :,0
: n't ' | # http :,0
: : # # # # ccot # tcot # teaparty # pjnet http :,1
# did n't offer a single solution to any salient issues,0
# so which presidential candidate stuck their thing into the presidential electric sharpener,0
@ : that introduced a bill to strip citizenship from who join # http :,1
"@ : , # is dangerous for the whole world . #",0
"@ : `` you really let a mother die , rather than have an abortion ? '' seriously being asked of a presidential",0
: `` defunded '' is proud that he denied thousands of women access to life saving healthcare #,0
@ : . @ on # is a writer at the top of his game : http :,1
@ : we know 's strategy - he 's going after . 's got nothing to lose - he is nowhere anyway #,0
where credit is due - was shocked # by 's cogent health care debate response # https :,0
@ : `` concludes our debate ! welcome the who will choose an ideological from our,0
@ : to hear men who chose not to serve in the military talk tough about using other people 's kids to backup their,0
going to be like the or something ? # #,0
@ : 'd pay some serious $ $ $ to watch someone grill these bullies in an interview . # #,0
of glad did n't get to watch the # yesterday . for my mental health !,1
@ : #,0
@ @ @ @ @ @ # too selfish & amp ; immature to have power .,0
@ : rich narcissists spouting nihilistic applause lines is not a debate . is a #,0
thought @ had a solid performance last night ! #,1
"& amp ; wisest man in the room last night barely got any speaking time , 'm a little salty about that # @",1
@ : `` @ had a good night he did well tonight . '' - @ # # https :,1
"@ : , ask how attacking me this week worked out for her . #",0
@ : . @ gets powerful response from @ focus group . # #,1
is & amp ; religion important in an election ? should n't play a part in the decision making in your country . #,0
"pose is awkward . in the hell did she work with ? 's stiff , not natural . like the # last night . @",0
@ : discussion of racist police violence was over before finished typing that tweet . # #,0
@ : # - the outsider . tells the truth . commitments . # http :,1
@ : tell me more about this `` hang em by the neck '' wing of your party . # # https :,0
"i dont care if you think you dont have time to be , being respectful to women is something that should be in your nature #",0
@ : : one seems to see me or cares what have to say . racism doesnt exist . # # http :,1
's not a coincidence that you could n't watch the # unless you had cable .,0
@ : 'm at the # . could n't get in since the bar we 're at does n't allow .,0
@ thinks high ratings for @ # were because of ! to break it to you . @,0
out of a restaurant last night even before my meal came feeling sick to my stomach #,0
"@ : debates , one winner : http : # #",1
"# debate stages were so filled with liars , traitors , cheaters , deceiving misogynists it stunk to high heaven .",0
"@ : surprise , @ thinks # trans life is a `` social experiment '' #",0
"@ : losers in the # were @ and . , arrogant , condescending hosts .",0
"@ : day , fun night , exhausting week . is moments before the # - firing up for the big event . http :",1
@ : it . # # # http :,1
. @ you ask if his `` moment had passed ? '' you have asked in the same ? question of the #,0
@ : 're talking about like she 's . love it . #,1
. told me to vote for them . # https :,0
#,1
@ : added jobs in . must be the result of `` job-killing '' talked about last,0
`` @ was one of the biggest winners night without even stepping on the prime-time stage . '' - @ #,1
"# : , it 's all fun and games until one of these wackos has his finger on the big red button . http :",0
@ : ! have authored 's law . leader of our party 's law # # http :,1
should have told to go to ! # #,0
still talking about what a great job @ did at the # last night . and very good points made .,1
: for http : # http :,1
"@ . when does care about lady viewers ? , 's sole goal in the # was to come out the winner .",0
@ : time heard `` stupid '' & amp ; `` idiot '' used so liberally in a debate was during a race for the president of my kindergarten …,0
had to laugh when # mentioned the pimps . 'em all ! # # # # ccot # tcot https :,1
@ : message from the spin room to ? winner of the # tonight was next year 's nominee . http :,0
@ : # 's : # had a household rating . biggest debates in had ratings http :,1
@ : to tonight . # http :,0
# was a great theatrical performance . should do .,0
"@ ! am not a fan and not a she did an amazing job last night , impressed with her qs . #",1
"the occasional dick , @ sure knows how to keep these political debates alive and exciting . #",0
"@ : it 's okay to kill people if you 're in the military , but it 's not okay to get an abortion if you 're a rape",0
@ : spent # night with the : http : http :,0
", it 's official ; the is less abortion , more war . 's it . 's what they are after . # #",0
"@ : `` people and break things , '' just described the . #",0
"@ : think @ won # ! hitting questions of concern to majority of voter , not just fringe base . #",1
@ `` our skin does not make us who we 's our brain '' is that a sellout ? #,0
@ : thoughts from the # tonight — the is out of touch and out of date . http :,0
"@ : # : , , and are huddled in the corner speaking . think they 're",0
@ : . @ is never medically necessary . are you touting @ talking points in question to @,0
real nerd fun is fact checking the # http :,0
@ : just compared # 's marriage ruling to . 's why that analogy is nonsense : http :,0
@ : . @ cleans 's clock post-debate . woman is a contender # #,1
@ . is why # ic # fundamentalists must die . 's either them or normal humans . # # #,0
"@ : this debate , my opinion changed the about @ foxnews , @ , @ & amp ; ! #",0
@ : great # discussing issues important to the people : https : our fight : https :,1
"# # share some sentiments , have some favorites on # side , but have no enthusiasm , do n't want to vote for any .",0
hadiyah : rocking that and . ! #,0
"@ : @ # : rich , white guy tells the country how he 's going to help other rich , white",0
hadiyah : looks like an for an inner city school and everyday his car gets vandalized . #,0
hadiyah : see try to solve a math problem . #,0
"hadiyah : , is boring ! need to punch in the face so he can get in the game . #",0
hadiyah : needs to get the water off the stage before and start tossing drinks at each other . #,0
"@ . , he 's the one everyone is talking about . # mystified #",0
@ : 's views on immigration are based solely on the first minutes of . #,0
so . so . # https :,1
if we should paying attention to every little thing # sez 's not a novelty anymore ! # #,0
@ : number of mentions of in tonight 's debate : http : # # http :,0
"@ : doubts will be the nominee ? ? , do you still have your tools ? a mirror ? , lie",0
's lead shows just how low the is for & amp ; speaks to approval of their elected leaders ! # # #,0
same old tiresome # gop # tcot # : http : # #,0
@ @ 's too extreme and violates the #,0
# # ! # # https :,1
's why it was so frustrating to watch the # as a woman http : via @,0
( cont ) # : @ ( too combative and mean ) and @ ( the fix was in ) : credibility,0
"@ : - `` 'm gon na have to earn this . '' no , ever . #",0
@ : . @ : is no such thing as a politically correct war #,0
@ : # @ ! @ is a ! # # # # http :,1
"@ : @ and are dealing with the # these are the republicans , http :",0
", @ makes me giggle # # https :",1
"@ : believe that the phrase `` am the nominee , will not run as an independent '' was uttered . #",0
@ : other candidates are stayin ' pretty calm considering they assume 's gon na mug them at some point . #,1
@ nerdist : 's really great in is the #,1
@ : @ the base has dementia . probably found it riveting ( when not confusing the toaster ),0
"@ : , does want to marry a gun ? saying that 's a deal-breaker for me , but still #",0
@ : 'd vote for a hologram of moonwalking across the stage right about now . #,0
@ : : ! ! ! : of illegals are n't . 's what grandstanding vs understanding real issue looks …,0
"# was like a super crappy cage fight of , bumbling , old without the cage .",0
"@ : could drop out of top w dreadful , debate . moves up # # tcot",0
@ : . @ is looking more like - on the issues http : # http :,0
"@ : official debate line-up from : , , , , , , , , , . #",0
# madness last night . this morning . # http :,0
@ : saying . # http :,0
@ : @ can you let us digest the # before you allow to,0
"# # want him out , but he will win the same http : http :",1
"@ : @ -- if you want to check out the , it 's right here in . 'll keep the bridge open for",0
`` @ web stream and mobile app fail during # ” … am not surprised ? http :,0
@ : @ @ promised families the fallen troops wo n't have died in vain . about victims of gun,0
"@ : # as theater , ( & amp ; web ) drama , ( and , duh ) reality , via @ @ latimes http :",0
"@ : http : ! , one ! ! ! #",0
@ : ! `` you join you are signing your death warrant . '' go ! that joins loses their,1
@ : : made a cameo appearance in last night 's # . 're sure there will be more to come . http :,1
@ : is # http :,0
@ : @ strong closing statement at the # : : https : #,1
"@ : `` , guys . are allowed to vote . '' `` ? '' `` 's impossible ! '' `` a wall around their uterus ! '' ``",0
